user_id,signup_date,city_tier,segment,preferred_device,acquisition_channel
U000058,2025-06-12,2,regular,mobile,referral
U000059,2025-11-07,1,premium,web,email
U000060,2025-10-23,3,regular,mobile,referral
U000061,2025-12-22,2,regular,web,referral
U000062,2025-11-07,3,value,mobile,email
U000063,2025-08-05,2,regular,mobile,paid_social
U000064,2026-01-02,1,value,web,email
U000065,2025-08-16,1,regular,mobile,email
U000066,2025-07-25,2,regular,web,organic
U000067,2025-12-18,2,regular,web,referral
U000068,2025-08-05,1,value,mobile,referral
U000069,2025-05-24,2,regular,web,paid_social
U000070,2025-08-30,3,regular,mobile,referral
U000071,2025-11-20,2,regular,web,search
U000072,2025-06-21,2,regular,web,search
U000073,2025-08-29,1,regular,mobile,paid_social
U000074,2025-06-06,3,value,web,paid_social
U000075,2025-10-24,2,regular,mobile,referral
U000076,2025-09-01,3,regular,web,referral
U000077,2025-07-26,2,value,mobile,paid_social
U000078,2025-06-30,2,value,mobile,email
U000079,2025-09-23,2,premium,web,organic
U000080,2025-10-20,1,regular,web,email
U000081,2025-12-27,3,regular,web,organic
U000082,2025-08-22,2,regular,mobile,search
U000083,2025-06-14,2,regular,web,organic
U000084,2025-11-30,3,regular,web,search
U000085,2025-10-10,3,value,mobile,search
U000086,2025-10-27,3,regular,web,organic
U000087,2025-05-29,1,regular,web,paid_social
U000088,2025-07-22,2,value,web,paid_social
U000089,2025-11-13,3,regular,web,organic
U000090,2025-11-29,2,value,mobile,paid_social
U000091,2025-08-22,1,regular,mobile,organic
U000092,2025-11-22,3,regular,mobile,organic
U000093,2025-12-02,2,regular,mobile,organic
U000094,2025-08-10,2,regular,web,paid_social
U000095,2025-12-16,3,premium,web,paid_social
U000096,2025-07-16,2,regular,mobile,paid_social
U000097,2025-07-04,2,regular,mobile,referral
U000098,2025-10-23,2,regular,mobile,paid_social
U000099,2025-10-11,2,value,web,referral
U000100,2025-06-09,1,value,mobile,email
U000101,2025-11-30,3,regular,mobile,search
U000102,2025-06-24,3,value,mobile,organic
U000103,2025-11-23,2,value,mobile,organic
U000104,2025-05-06,2,regular,web,paid_social
U000105,2025-11-21,3,regular,web,search
U000106,2025-11-18,1,value,web,organic
U000107,2025-11-16,2,regular,web,referral
U000108,2025-10-18,2,regular,mobile,email
U000109,2025-08-31,2,regular,web,organic
U000110,2025-10-28,1,value,web,organic
U000111,2025-07-13,2,regular,web,organic
U000112,2025-11-16,2,value,mobile,search
U000113,2025-09-21,2,regular,web,referral
U000114,2025-08-28,1,value,web,paid_social
U000115,2025-09-08,2,premium,mobile,organic
U000116,2025-09-24,2,value,web,search
U000117,2025-05-14,1,regular,web,organic
U000118,2025-06-09,1,value,web,search
U000119,2025-07-05,1,regular,mobile,search
U000120,2025-06-02,2,regular,mobile,paid_social
U000121,2025-08-23,1,value,mobile,search
U000122,2025-10-19,3,value,web,referral
U000123,2025-10-16,2,value,mobile,organic
U000124,2025-08-31,3,value,mobile,paid_social
U000125,2025-12-05,3,premium,web,organic
U000126,2025-09-23,1,regular,,organic
U000127,2025-05-24,2,value,web,referral
U000128,2025-11-13,3,premium,mobile,paid_social
U000129,2025-09-26,2,value,web,organic
U000130,2025-10-11,2,regular,web,search
U000131,2025-09-23,2,regular,mobile,paid_social
U000132,2025-09-20,1,premium,mobile,email
U000133,2025-05-27,2,regular,mobile,paid_social
U000134,2025-09-22,3,regular,mobile,organic
U000135,2025-11-20,3,premium,web,search
U000136,2025-07-20,1,value,mobile,organic
U000137,2025-10-03,2,premium,,organic
U000138,2025-05-12,2,regular,web,paid_social
U000139,2025-07-31,3,premium,mobile,paid_social
U000140,2025-08-22,1,value,web,organic
U000141,2026-01-06,3,value,web,referral
U000142,2025-06-27,3,regular,mobile,paid_social
U000143,2025-07-13,1,regular,web,paid_social
U000144,2025-08-15,1,regular,web,organic
U000145,2026-01-09,3,premium,mobile,search
U000146,2025-12-05,1,regular,mobile,organic
U000147,2025-05-13,2,value,mobile,organic
U000148,2025-07-02,3,regular,web,organic
U000149,2025-11-27,2,value,mobile,organic
U000150,2025-05-19,2,value,mobile,organic
U000151,2025-12-05,2,value,web,organic
U000152,2025-07-14,1,regular,web,email
U000153,2025-12-21,3,regular,web,referral
U000154,2025-07-17,2,regular,web,search
U000155,2025-08-22,1,value,web,email
U000156,2025-10-18,2,regular,mobile,organic
U000157,2025-06-05,3,regular,mobile,search
U000158,2025-09-21,1,premium,web,referral
U000159,2025-09-08,3,regular,mobile,search
U000160,2025-11-17,2,regular,web,organic
U000161,2026-01-10,3,regular,web,search
U000162,2025-10-18,3,regular,mobile,search
U000163,2025-08-15,3,premium,web,paid_social
U000164,2025-08-15,3,regular,mobile,search
U000165,2025-08-17,1,regular,web,search
U000166,2025-11-25,3,value,web,organic
U000167,2025-07-24,2,regular,web,search
U000168,2025-06-15,2,regular,web,organic
U000169,2025-07-27,3,regular,mobile,referral
U000170,2025-05-10,3,regular,mobile,paid_social
U000171,2025-05-31,2,value,web,search
U000172,2025-05-27,2,premium,web,paid_social
U000173,2025-11-14,2,value,mobile,organic
U000174,2025-11-02,2,premium,mobile,search
U000175,2025-10-26,2,value,web,search
U000176,2025-08-28,2,regular,web,search
U000177,2025-10-31,1,regular,web,paid_social
U000178,2025-06-14,1,regular,web,email
U000179,2025-12-17,3,value,web,search
U000180,2025-09-07,2,premium,web,search
U000181,2025-12-26,3,regular,web,paid_social
U000182,2025-06-12,2,regular,web,organic
U000183,2025-09-06,1,regular,web,organic
U000184,2025-10-26,1,value,mobile,email
U000185,2025-09-06,1,regular,mobile,referral
U000186,2025-08-24,3,value,web,email
U000187,2025-06-15,1,value,web,organic
U000188,2025-08-08,2,regular,web,organic
U000189,2025-07-03,3,regular,mobile,search
U000190,2025-07-19,3,value,mobile,email
U000191,2025-10-23,1,value,web,organic
U000192,2025-10-10,1,value,mobile,organic
U000193,2025-10-04,1,value,mobile,organic
U000194,2025-08-03,1,regular,mobile,paid_social
U000195,2025-12-31,1,value,web,referral
U000196,2025-05-27,2,premium,web,paid_social
U000197,2025-07-29,3,value,mobile,organic
U000198,2025-06-03,2,value,web,paid_social
U000199,2025-07-29,2,premium,mobile,search
U000200,2026-01-01,1,value,mobile,organic
U000201,2025-08-04,3,regular,web,organic
U000202,2025-12-19,2,premium,web,search
U000203,2025-09-06,3,premium,web,organic
U000204,2025-10-27,3,regular,web,email
U000205,2025-08-27,2,value,mobile,search
U000206,2025-07-10,1,regular,mobile,search
U000207,2025-11-12,1,premium,web,paid_social
U000208,2026-01-03,2,premium,mobile,paid_social
U000209,2025-07-10,3,value,web,organic
U000210,2025-11-16,2,regular,mobile,paid_social
U000211,2025-07-09,3,value,web,organic
U000212,2025-10-31,2,value,mobile,search
U000213,2025-11-19,1,regular,mobile,paid_social
U000214,2025-08-25,2,value,web,search
U000215,2025-11-05,2,value,mobile,search
U000216,2025-07-12,2,value,mobile,organic
U000217,2025-05-24,2,regular,web,search
U000218,2025-05-29,1,value,mobile,organic
U000219,2025-08-25,2,regular,mobile,email
U000220,2025-12-17,1,value,mobile,search
U000221,2025-06-06,3,premium,web,referral
U000222,2025-08-27,1,value,,search
U000223,2025-10-28,1,regular,mobile,referral
U000224,2025-06-24,2,value,mobile,organic
U000225,2025-11-02,2,value,web,organic
U000226,2025-07-20,2,value,web,organic
U000227,2025-11-23,2,value,mobile,organic
U000228,2025-09-27,3,value,web,email
U000229,2025-09-19,2,regular,web,paid_social
U000230,2025-06-18,2,regular,web,paid_social
U000231,2025-08-29,2,value,mobile,search
U000232,2025-12-06,1,regular,web,search
U000233,2025-05-09,2,regular,mobile,paid_social
U000234,2025-11-11,1,value,mobile,referral
U000235,2025-09-05,2,value,mobile,paid_social
U000236,2025-11-01,1,value,mobile,paid_social
U000237,2025-10-18,3,value,web,organic
U000238,2025-08-21,2,regular,mobile,email
U000239,2025-07-21,3,premium,web,organic
U000240,2025-10-09,2,premium,mobile,search
U000241,2025-06-09,1,premium,web,referral
U000242,2025-09-28,3,regular,mobile,organic
U000243,2025-05-28,2,value,mobile,organic
U000244,2025-10-15,3,value,web,search
U000245,2025-10-09,2,value,mobile,search
U000246,2025-05-26,2,value,web,email
U000247,2025-11-11,3,value,web,referral
U000248,2025-08-17,2,regular,web,search
U000249,2025-11-18,2,value,web,email
U000250,2025-05-15,2,value,mobile,paid_social
U000251,2025-06-19,2,regular,mobile,referral
U000252,2025-09-05,3,value,web,organic
U000253,2025-06-21,2,premium,mobile,search
U000254,2025-07-26,2,value,mobile,organic
U000255,2025-10-17,3,regular,mobile,organic
U000256,2025-06-10,2,value,web,paid_social
U000257,2025-10-22,2,regular,mobile,organic
U000258,2025-05-30,2,value,web,search
U000259,2025-06-17,1,value,mobile,paid_social
U000260,2025-09-29,2,regular,mobile,organic
U000261,2025-11-20,1,value,mobile,search
U000262,2025-06-16,1,value,web,paid_social
U000263,2025-07-19,2,premium,web,referral
U000264,2025-12-23,2,value,mobile,organic
U000265,2026-01-08,3,regular,web,email
U000266,2025-09-27,2,regular,web,referral
U000267,2025-08-25,1,value,mobile,paid_social
U000268,2025-07-31,3,regular,mobile,search
U000269,2025-10-05,1,value,web,paid_social
U000270,2025-09-30,1,regular,web,referral
U000271,2025-07-17,2,value,mobile,organic
U000272,2025-05-10,2,value,web,email
U000273,2025-06-12,3,value,web,email
U000274,2025-12-31,3,premium,web,search
U000275,2025-08-17,2,regular,web,paid_social
U000276,2025-09-03,1,premium,mobile,search
U000277,2025-08-30,2,regular,web,paid_social
U000278,2025-11-17,2,regular,web,referral
U000279,2025-05-21,1,regular,web,organic
U000280,2025-05-25,2,premium,web,organic
U000281,2025-07-13,2,regular,web,organic
U000282,2025-09-04,1,value,mobile,email
U000283,2025-10-20,2,regular,mobile,search
U000284,2025-09-05,2,regular,web,referral
U000285,2025-08-23,1,value,web,search
U000286,2025-12-26,2,regular,web,organic
U000287,2025-06-14,3,value,web,email
U000288,2025-09-25,2,regular,mobile,search
U000289,2025-09-18,3,value,web,search
U000290,2025-08-31,2,regular,mobile,organic
U000291,2025-11-23,3,regular,mobile,organic
U000292,2025-07-11,1,regular,web,organic
U000293,2025-12-30,2,value,mobile,search
U000294,2025-07-27,1,premium,web,paid_social
U000295,2025-09-18,2,regular,web,organic
U000296,2025-09-12,2,value,mobile,organic
U000297,2025-12-04,1,value,web,organic
U000298,2025-08-23,3,value,mobile,search
U000299,2025-07-15,2,value,mobile,email
U000300,2025-05-10,2,regular,web,search
U000301,2025-08-04,1,premium,mobile,organic
U000302,2025-11-28,2,regular,web,paid_social
U000303,2025-05-07,2,regular,mobile,email
U000304,2025-12-15,2,regular,web,referral
U000305,2025-09-18,1,regular,web,referral
U000306,2025-06-09,3,regular,web,email
U000307,2025-07-19,3,value,mobile,paid_social
U000308,2025-09-21,2,premium,web,email
U000309,2025-07-23,2,regular,mobile,organic
U000310,2025-06-01,3,regular,web,referral
U000311,2025-10-19,3,premium,web,referral
U000312,2025-10-20,2,regular,web,email
U000313,2025-06-03,3,value,web,search
U000314,2025-07-14,3,regular,mobile,referral
U000315,2025-07-05,3,value,web,organic
U000316,2025-10-17,2,regular,mobile,paid_social
U000317,2025-11-04,1,value,mobile,search
U000318,2025-11-03,1,regular,web,paid_social
U000319,2025-12-26,2,premium,mobile,paid_social
U000320,2025-11-13,2,value,mobile,search
U000321,2025-07-24,2,regular,mobile,organic
U000322,2025-06-01,2,regular,web,organic
U000323,2025-10-06,2,regular,mobile,paid_social
U000324,2025-12-20,3,value,mobile,paid_social
U000325,2026-01-04,1,value,web,paid_social
U000326,2025-07-01,1,regular,mobile,organic
U000327,2025-07-03,3,regular,web,referral
U000328,2025-05-14,3,regular,mobile,paid_social
U000329,2025-06-09,3,value,mobile,organic
U000330,2025-09-21,3,regular,mobile,organic
U000331,2025-09-19,3,value,mobile,search
U000332,2025-08-06,2,value,mobile,search
U000333,2025-07-21,2,regular,mobile,organic
U000334,2025-11-29,2,value,web,organic
U000335,2025-08-28,2,regular,web,organic
U000336,2025-11-23,3,premium,web,organic
U000337,2026-01-01,2,regular,web,organic
U000338,2025-07-23,2,regular,mobile,referral
U000339,2025-06-24,2,value,mobile,search
U000340,2025-12-30,1,value,web,search
U000341,2025-10-11,1,value,web,paid_social
U000342,2025-07-17,1,regular,mobile,search
U000343,2025-10-08,3,regular,web,organic
U000344,2025-09-11,2,value,mobile,organic
U000345,2025-12-18,3,value,mobile,organic
U000346,2025-07-08,2,value,web,paid_social
U000347,2026-01-08,1,regular,web,search
U000348,2025-12-25,1,regular,web,search
U000349,2025-06-19,3,regular,web,search
U000350,2025-06-15,2,premium,web,email
U000351,2025-09-15,3,value,web,organic
U000352,2025-05-16,1,regular,web,search
U000353,2025-07-18,2,regular,web,search
U000354,2025-08-22,3,value,web,paid_social
U000355,2026-01-03,1,premium,mobile,paid_social
U000356,2026-01-09,2,value,web,paid_social
U000357,2025-06-12,3,regular,mobile,organic
U000358,2025-12-14,2,regular,web,search
U000359,2025-05-27,2,premium,web,referral
U000360,2025-11-08,2,regular,web,search
U000361,2025-12-03,2,value,mobile,email
U000362,2025-12-14,3,regular,web,search
U000363,2025-06-30,3,regular,web,search
U000364,2025-12-15,2,regular,web,search
U000365,2025-06-03,3,regular,mobile,search
U000366,2025-09-12,1,value,web,referral
U000367,2025-08-30,1,regular,web,organic
U000368,2025-07-23,2,premium,mobile,search
U000369,2025-05-10,3,value,web,paid_social
U000370,2025-11-14,1,regular,web,referral
U000371,2025-07-28,1,premium,mobile,paid_social
U000372,2025-10-18,2,regular,web,email
U000373,2025-08-15,3,premium,web,referral
U000374,2025-08-06,1,regular,web,search
U000375,2025-12-13,2,premium,web,referral
U000376,2025-05-28,2,value,mobile,email
U000377,2025-11-05,2,regular,mobile,organic
U000378,2025-11-08,1,regular,mobile,paid_social
U000379,2025-08-08,1,regular,web,organic
U000380,2025-07-09,2,premium,mobile,paid_social
U000381,2025-05-06,2,regular,mobile,organic
U000382,2025-12-26,3,regular,web,paid_social
U000383,2025-12-28,2,regular,mobile,search
U000384,2025-07-04,2,regular,mobile,paid_social
U000385,2025-05-13,3,regular,mobile,organic
U000386,2025-06-04,2,value,web,paid_social
U000387,2025-05-21,2,regular,web,search
U000388,2025-11-29,3,premium,mobile,paid_social
U000389,2025-12-14,1,regular,mobile,organic
U000390,2025-06-12,2,regular,web,organic
U000391,2025-11-08,3,regular,web,search
U000392,2025-06-18,1,regular,mobile,email
U000393,2025-08-05,2,value,web,organic
U000394,2025-10-02,1,regular,web,paid_social
U000395,2025-11-01,1,regular,mobile,organic
U000396,2025-12-10,2,value,web,paid_social
U000397,2025-05-16,2,value,web,organic
U000398,2025-06-23,3,regular,web,search
U000399,2025-07-14,3,regular,mobile,search
U000400,2025-07-21,3,regular,web,organic
U000401,2026-01-10,2,value,mobile,search
U000402,2025-11-16,2,regular,mobile,search
U000403,2025-07-24,2,regular,mobile,search
U000404,2026-01-03,1,regular,web,email
U000405,2025-09-07,3,regular,web,search
U000406,2025-09-07,2,value,web,email
U000407,2025-08-21,1,premium,mobile,search
U000408,2025-06-10,3,value,mobile,organic
U000409,2025-12-25,2,regular,mobile,organic
U000410,2025-05-08,1,value,web,search
U000411,2025-06-17,1,regular,web,organic
U000412,2025-07-01,2,value,mobile,referral
U000413,2025-07-14,3,premium,web,paid_social
U000414,2025-06-07,1,regular,mobile,search
U000415,2025-05-09,3,regular,web,search
U000416,2025-10-22,3,value,mobile,search
U000417,2026-01-03,3,value,mobile,paid_social
U000418,2025-06-04,1,regular,web,organic
U000419,2025-07-18,1,regular,web,organic
U000420,2025-09-09,3,regular,mobile,organic
U000421,2025-12-23,2,premium,web,organic
U000422,2025-10-26,2,regular,web,paid_social
U000423,2025-11-13,3,premium,web,organic
U000424,2025-09-27,1,value,web,organic
U000425,2025-08-17,3,regular,mobile,email
U000426,2025-06-24,3,regular,web,email
U000427,2025-12-07,2,regular,web,search
U000428,2025-11-22,2,premium,mobile,search
U000429,2025-05-11,3,regular,web,paid_social
U000430,2025-10-31,2,premium,web,organic
U000431,2025-05-26,2,regular,mobile,search
U000432,2025-11-06,3,value,mobile,organic
U000433,2025-11-28,2,regular,mobile,search
U000434,2025-06-06,2,regular,mobile,email
U000435,2025-08-21,1,premium,web,paid_social
U000436,2025-06-05,1,regular,web,email
U000437,2025-09-24,2,value,mobile,paid_social
U000438,2025-12-23,2,value,mobile,paid_social
U000439,2025-05-25,2,value,mobile,paid_social
U000440,2025-08-12,2,regular,web,paid_social
U000441,2026-01-04,3,value,web,search
U000442,2025-07-19,3,regular,web,organic
U000443,2025-06-07,1,regular,mobile,search
U000444,2025-09-04,2,regular,mobile,organic
U000445,2025-09-09,2,value,web,search
U000446,2025-10-18,2,regular,web,organic
U000447,2025-07-22,1,value,web,search
U000448,2025-12-30,3,premium,web,organic
U000449,2025-09-12,3,value,mobile,organic
U000450,2025-07-15,2,value,mobile,search
U000451,2026-01-01,3,value,web,organic
U000452,2025-12-23,3,regular,mobile,email
U000453,2025-09-07,2,value,mobile,search
U000454,2025-05-11,2,regular,web,search
U000455,2025-10-01,2,regular,web,organic
U000456,2025-09-21,3,regular,web,referral
U000457,2025-06-11,1,value,web,paid_social
U000458,2025-10-11,2,value,web,search
U000459,2025-12-02,3,regular,mobile,organic
U000460,2025-05-31,2,value,web,paid_social
U000461,2025-11-02,3,regular,web,email
U000462,2025-06-09,2,value,mobile,search
U000463,2025-11-08,3,regular,web,organic
U000464,2025-08-18,3,value,mobile,organic
U000465,2025-05-06,2,regular,mobile,organic
U000466,2026-01-02,3,value,mobile,paid_social
U000467,2025-06-15,2,regular,mobile,email
U000468,2025-10-01,2,value,mobile,email
U000469,2025-06-19,2,premium,mobile,referral
U000470,2025-12-25,3,regular,web,organic
U000471,2025-11-06,1,value,web,email
U000472,2025-11-22,1,value,web,organic
U000473,2025-08-21,2,value,web,organic
U000474,2025-08-30,2,value,web,paid_social
U000475,2025-10-11,2,value,web,organic
U000476,2025-11-17,1,premium,web,referral
U000477,2025-12-03,2,regular,web,email
U000478,2025-05-09,3,value,web,paid_social
U000479,2025-10-18,1,regular,mobile,referral
U000480,2025-06-01,2,value,mobile,search
U000481,2025-07-16,3,premium,mobile,organic
U000482,2025-11-29,1,value,web,referral
U000483,2025-07-06,2,regular,mobile,paid_social
U000484,2025-11-21,2,regular,mobile,email
U000485,2025-08-29,3,value,web,organic
U000486,2025-07-02,2,value,mobile,organic
U000487,2025-07-27,3,regular,web,search
U000488,2025-09-15,1,premium,mobile,paid_social
U000489,2025-11-13,2,regular,mobile,referral
U000490,2025-10-04,3,regular,web,email
U000491,2025-12-25,1,regular,mobile,organic
U000492,2025-12-08,1,regular,web,search
U000493,2025-11-10,1,regular,web,organic
U000494,2025-10-03,3,regular,web,organic
U000495,2025-07-16,2,regular,web,search
U000496,2025-08-16,2,value,web,paid_social
U000497,2025-06-03,2,premium,,search
U000498,2025-08-06,2,value,web,search
U000499,2025-12-23,2,value,web,paid_social
U000500,2025-08-19,2,regular,mobile,referral
U000501,2025-06-02,2,value,web,organic
U000502,2025-10-15,1,value,web,search
U000503,2026-01-01,3,value,mobile,paid_social
U000504,2025-12-08,3,regular,mobile,paid_social
U000505,2025-07-12,2,regular,web,referral
U000506,2025-08-26,2,value,web,organic
U000507,2025-09-15,1,value,mobile,search
U000508,2025-07-06,3,regular,mobile,email
U000509,2025-07-11,3,premium,web,search
U000510,2025-07-03,3,value,web,search
U000511,2026-01-09,2,premium,web,email
U000512,2025-11-08,1,premium,mobile,organic
U000513,2025-12-02,1,value,mobile,paid_social
U000514,2025-11-25,1,regular,mobile,referral
U000515,2025-12-31,1,regular,web,organic
U000516,2025-05-31,1,regular,mobile,paid_social
U000517,2025-12-12,3,regular,mobile,search
U000518,2025-05-21,1,regular,web,referral
U000519,2025-09-01,1,regular,mobile,email
U000520,2025-10-01,3,regular,web,referral
U000521,2025-08-02,2,premium,web,organic
U000522,2025-06-10,3,regular,mobile,paid_social
U000523,2025-06-22,2,regular,web,email
U000524,2025-11-27,3,premium,mobile,paid_social
U000525,2025-07-23,2,value,web,paid_social
U000526,2025-07-21,2,value,web,organic
U000527,2025-12-22,2,regular,web,referral
U000528,2025-06-10,2,premium,web,organic
U000529,2025-12-20,2,value,web,organic
U000530,2025-12-22,2,regular,mobile,email
U000531,2025-10-02,1,value,web,email
U000532,2025-06-15,3,value,web,email
U000533,2025-06-13,2,regular,mobile,search
U000534,2025-07-15,1,value,web,organic
U000535,2025-09-26,1,premium,mobile,search
U000536,2025-06-12,3,value,web,organic
U000537,2025-08-27,2,premium,web,referral
U000538,2025-06-02,2,value,mobile,search
U000539,2025-09-17,3,premium,mobile,search
U000540,2025-05-10,1,regular,mobile,organic
U000541,2025-10-29,3,value,web,search
U000542,2025-05-18,2,value,web,referral
U000543,2025-06-22,1,value,mobile,paid_social
U000544,2025-06-17,2,regular,mobile,organic
U000545,2025-11-29,3,regular,mobile,organic
U000546,2025-05-18,2,regular,mobile,search
U000547,2025-08-20,2,regular,mobile,organic
U000548,2025-09-30,2,regular,web,email
U000549,2025-09-11,2,regular,mobile,paid_social
U000550,2025-10-22,2,regular,web,organic
U000551,2025-11-22,2,regular,web,referral
U000552,2025-08-11,2,regular,mobile,search
U000553,2025-11-28,1,premium,web,organic
U000554,2025-07-23,2,value,web,search
U000555,2026-01-07,2,value,mobile,organic
U000556,2025-09-08,2,value,mobile,search
U000557,2025-11-05,1,regular,web,referral
U000558,2025-12-10,2,value,mobile,email
U000559,2025-11-19,2,premium,web,search
U000560,2025-12-04,1,regular,mobile,paid_social
U000561,2025-09-16,1,regular,web,organic
U000562,2025-05-15,2,regular,web,search
U000563,2025-09-05,2,value,web,organic
U000564,2025-06-19,1,regular,web,search
U000565,2025-12-14,3,value,web,organic
U000566,2025-07-03,2,regular,web,email
U000567,2025-07-01,3,premium,mobile,referral
U000568,2025-07-06,2,regular,web,organic
U000569,2025-10-13,2,premium,web,paid_social
U000570,2025-09-25,2,regular,mobile,organic
U000571,2025-12-29,3,regular,,paid_social
U000572,2025-08-17,2,regular,mobile,organic
U000573,2025-07-14,2,regular,web,organic
U000574,2025-05-17,2,value,web,paid_social
U000575,2025-05-06,2,value,mobile,search
U000576,2025-08-06,1,regular,mobile,search
U000577,2025-12-23,2,value,web,search
U000578,2025-09-13,2,regular,mobile,organic
U000579,2025-12-15,3,regular,mobile,organic
U000580,2025-05-30,2,premium,mobile,paid_social
U000581,2025-05-28,2,value,web,paid_social
U000582,2025-11-30,3,premium,mobile,organic
U000583,2025-05-31,2,value,web,search
U000584,2025-05-18,1,regular,mobile,paid_social
U000585,2025-08-14,1,regular,web,paid_social
U000586,2025-12-23,1,value,web,referral
U000587,2025-10-25,1,value,web,search
U000588,2025-05-29,2,value,mobile,search
U000589,2025-12-01,3,regular,mobile,search
U000590,2025-12-02,2,regular,mobile,organic
U000591,2025-11-21,1,value,mobile,organic
U000592,2025-12-17,2,value,mobile,organic
U000593,2025-07-04,1,regular,mobile,referral
U000594,2026-01-05,3,value,web,organic
U000595,2025-07-24,1,regular,mobile,paid_social
U000596,2025-11-22,2,premium,,search
U000597,2025-09-27,2,regular,web,search
U000598,2025-11-16,2,premium,web,referral
U000599,2025-10-09,2,regular,web,paid_social
U000600,2025-10-13,3,regular,mobile,organic
U000601,2025-10-06,1,value,mobile,paid_social
U000602,2025-11-16,3,value,web,search
U000603,2025-11-06,2,regular,mobile,search
U000604,2025-06-07,3,value,web,paid_social
U000605,2025-11-28,3,premium,web,paid_social
U000606,2025-09-16,3,regular,web,organic
U000607,2025-07-25,1,premium,web,email
U000608,2025-09-11,2,value,web,paid_social
U000609,2026-01-02,2,regular,web,paid_social
U000610,2025-12-06,2,regular,web,organic
U000611,2025-11-30,2,value,web,organic
U000612,2025-08-29,3,regular,mobile,search
U000613,2025-11-17,3,regular,web,paid_social
U000614,2025-08-09,2,premium,web,search
U000615,2025-10-24,2,regular,web,paid_social
U000616,2025-10-12,3,value,web,organic
U000617,2025-07-06,3,regular,web,paid_social
U000618,2025-07-10,1,regular,web,referral
U000619,2025-05-20,2,value,mobile,paid_social
U000620,2025-06-09,3,regular,mobile,paid_social
U000621,2025-08-21,2,value,mobile,referral
U000622,2025-09-01,2,value,mobile,organic
U000623,2025-06-15,3,regular,web,paid_social
U000624,2025-08-17,3,value,web,email
U000625,2025-10-03,3,regular,web,search
U000626,2025-07-02,3,value,web,organic
U000627,2025-07-28,2,regular,web,email
U000628,2025-08-05,2,value,web,organic
U000629,2025-09-08,2,premium,mobile,organic
U000630,2025-08-04,2,value,web,organic
U000631,2025-11-05,2,regular,web,search
U000632,2025-07-26,2,value,mobile,search
U000633,2025-08-21,2,value,web,search
U000634,2025-08-08,2,regular,mobile,email
U000635,2025-06-19,2,regular,mobile,search
U000636,2025-10-24,2,premium,mobile,search
U000637,2025-07-03,1,value,web,referral
U000638,2025-07-18,1,value,web,referral
U000639,2025-11-19,3,regular,mobile,organic
U000640,2025-12-29,2,regular,mobile,organic
U000641,2025-10-20,1,value,mobile,paid_social
U000642,2025-12-21,3,regular,web,referral
U000643,2025-12-05,2,regular,web,search
U000644,2025-09-02,1,regular,web,organic
U000645,2025-11-14,2,value,web,paid_social
U000646,2025-07-26,1,regular,web,paid_social
