payment_id,user_id,subscription_id,payment_date,amount,payment_method,payment_status,failure_reason,retry_count
PAY00000049,U000010,SUB_U000010,2025-11-30,499.0,NetBanking,FAILED,BANK_TIMEOUT,0
PAY00000050,U000010,SUB_U000010,2025-12-28,499.0,Card,SUCCESS,,0
PAY00000051,U000011,SUB_U000011,2025-09-22,799.0,Card,SUCCESS,,0
PAY00000052,U000011,SUB_U000011,2025-10-23,799.0,NetBanking,SUCCESS,,0
PAY00000053,U000011,SUB_U000011,2025-11-20,799.0,UPI,FAILED,BANK_TIMEOUT,0
PAY00000054,U000011,SUB_U000011,2025-11-21,799.0,Card,SUCCESS,,1
PAY00000055,U000011,SUB_U000011,2025-12-20,799.0,NetBanking,SUCCESS,,0
PAY00000056,U000012,SUB_U000012,2026-01-11,299.0,UPI,SUCCESS,,0
PAY00000057,U000013,SUB_U000013,2025-11-07,299.0,Wallet,SUCCESS,,0
PAY00000058,U000013,SUB_U000013,2025-12-07,299.0,UPI,SUCCESS,,0
PAY00000059,U000014,SUB_U000014,2025-11-18,299.0,Card,SUCCESS,,0
PAY00000060,U000014,SUB_U000014,2025-12-16,299.0,Wallet,SUCCESS,,0
PAY00000061,U000015,SUB_U000015,2025-11-02,299.0,NetBanking,SUCCESS,,0
PAY00000062,U000015,SUB_U000015,2025-12-03,299.0,NetBanking,SUCCESS,,0
PAY00000063,U000016,SUB_U000016,2025-11-20,499.0,UPI,SUCCESS,,0
PAY00000064,U000016,SUB_U000016,2025-12-20,499.0,UPI,SUCCESS,,0
PAY00000065,U000017,SUB_U000017,2025-09-13,299.0,Card,SUCCESS,,0
PAY00000066,U000017,SUB_U000017,2025-10-13,299.0,UPI,SUCCESS,,0
PAY00000067,U000017,SUB_U000017,2025-11-11,299.0,NetBanking,SUCCESS,,0
PAY00000068,U000017,SUB_U000017,2025-12-12,299.0,UPI,FAILED,CARD_DECLINED,0
PAY00000069,U000018,SUB_U000018,2025-06-08,299.0,UPI,SUCCESS,,0
PAY00000070,U000018,SUB_U000018,2025-07-09,299.0,Card,SUCCESS,,0
PAY00000071,U000018,SUB_U000018,2025-08-08,299.0,Card,SUCCESS,,0
PAY00000072,U000018,SUB_U000018,2025-09-08,299.0,UPI,FAILED,INSUFFICIENT_FUNDS,0
PAY00000073,U000018,SUB_U000018,2025-10-08,299.0,Card,SUCCESS,,0
PAY00000074,U000018,SUB_U000018,2025-11-05,299.0,UPI,SUCCESS,,0
PAY00000075,U000018,SUB_U000018,2025-12-05,299.0,UPI,SUCCESS,,0
PAY00000076,U000019,SUB_U000019,2025-12-08,799.0,UPI,SUCCESS,,0
PAY00000077,U000020,SUB_U000020,2025-09-01,499.0,NetBanking,SUCCESS,,0
PAY00000078,U000020,SUB_U000020,2025-09-30,499.0,Card,SUCCESS,,0
PAY00000079,U000020,SUB_U000020,2025-10-31,499.0,UPI,SUCCESS,,0
PAY00000080,U000020,SUB_U000020,2025-11-29,499.0,UPI,SUCCESS,,0
PAY00000081,U000020,SUB_U000020,2025-12-28,499.0,Card,SUCCESS,,0
PAY00000082,U000021,SUB_U000021,2025-09-12,499.0,UPI,SUCCESS,,0
PAY00000083,U000021,SUB_U000021,2025-10-11,499.0,UPI,SUCCESS,,0
PAY00000084,U000021,SUB_U000021,2025-11-12,499.0,UPI,SUCCESS,,0
PAY00000085,U000021,SUB_U000021,2025-12-10,499.0,Card,SUCCESS,,0
PAY00000086,U000022,SUB_U000022,2025-08-06,799.0,NetBanking,SUCCESS,,0
PAY00000087,U000022,SUB_U000022,2025-09-06,799.0,UPI,SUCCESS,,0
PAY00000088,U000022,SUB_U000022,2025-10-06,799.0,NetBanking,SUCCESS,,0
PAY00000089,U000022,SUB_U000022,2025-11-06,799.0,Card,SUCCESS,,0
PAY00000090,U000022,SUB_U000022,2025-12-06,799.0,Card,SUCCESS,,0
PAY00000091,U000023,SUB_U000023,2025-06-23,299.0,Card,SUCCESS,,0
PAY00000092,U000023,SUB_U000023,2025-07-24,299.0,NetBanking,SUCCESS,,0
PAY00000093,U000023,SUB_U000023,2025-08-22,299.0,Card,SUCCESS,,0
PAY00000094,U000023,SUB_U000023,2025-09-21,299.0,Card,SUCCESS,,0
PAY00000095,U000023,SUB_U000023,2025-10-20,299.0,Card,SUCCESS,,0
PAY00000096,U000024,SUB_U000024,2025-12-26,499.0,UPI,SUCCESS,,0
PAY00000097,U000025,SUB_U000025,2025-11-19,499.0,Wallet,SUCCESS,,0
PAY00000098,U000025,SUB_U000025,2025-12-19,499.0,Card,SUCCESS,,0
PAY00000099,U000026,SUB_U000026,2025-10-15,799.0,Card,SUCCESS,,0
PAY00000100,U000026,SUB_U000026,2025-11-14,799.0,Wallet,SUCCESS,,0
PAY00000101,U000027,SUB_U000027,2025-08-16,299.0,Card,SUCCESS,,0
PAY00000102,U000027,SUB_U000027,2025-09-13,299.0,Card,SUCCESS,,0
PAY00000103,U000027,SUB_U000027,2025-10-14,299.0,NetBanking,SUCCESS,,0
PAY00000104,U000028,SUB_U000028,2025-12-04,299.0,Card,FAILED,BANK_TIMEOUT,0
PAY00000105,U000029,SUB_U000029,2025-09-23,499.0,NetBanking,SUCCESS,,0
PAY00000106,U000029,SUB_U000029,2025-10-24,499.0,UPI,SUCCESS,,0
PAY00000107,U000029,SUB_U000029,2025-11-22,499.0,Card,SUCCESS,,0
PAY00000108,U000029,SUB_U000029,2025-12-23,499.0,Card,FAILED,INSUFFICIENT_FUNDS,0
PAY00000109,U000029,SUB_U000029,2025-12-24,499.0,Card,SUCCESS,,1
PAY00000110,U000030,SUB_U000030,2025-09-02,799.0,Card,SUCCESS,,0
PAY00000111,U000030,SUB_U000030,2025-09-30,799.0,UPI,SUCCESS,,0
PAY00000112,U000030,SUB_U000030,2025-10-30,799.0,UPI,SUCCESS,,0
PAY00000113,U000030,SUB_U000030,2025-11-30,799.0,UPI,SUCCESS,,0
PAY00000114,U000030,SUB_U000030,2025-12-29,799.0,UPI,SUCCESS,,0
PAY00000115,U000031,SUB_U000031,2025-08-29,299.0,NetBanking,FAILED,BANK_TIMEOUT,0
PAY00000116,U000031,SUB_U000031,2025-08-30,299.0,UPI,SUCCESS,,1
PAY00000117,U000031,SUB_U000031,2025-09-26,299.0,Card,SUCCESS,,0
PAY00000118,U000031,SUB_U000031,2025-10-27,299.0,UPI,SUCCESS,,0
PAY00000119,U000031,SUB_U000031,2025-11-27,299.0,NetBanking,SUCCESS,,0
PAY00000120,U000031,SUB_U000031,2025-12-26,299.0,Wallet,SUCCESS,,0
PAY00000121,U000032,SUB_U000032,2025-07-07,499.0,Card,SUCCESS,,0
PAY00000122,U000032,SUB_U000032,2025-08-07,499.0,UPI,SUCCESS,,0
PAY00000123,U000032,SUB_U000032,2025-09-07,499.0,NetBanking,SUCCESS,,0
PAY00000124,U000032,SUB_U000032,2025-10-06,499.0,Wallet,SUCCESS,,0
PAY00000125,U000032,SUB_U000032,2025-11-04,499.0,UPI,SUCCESS,,0
PAY00000126,U000033,SUB_U000033,2025-06-03,799.0,NetBanking,FAILED,BANK_TIMEOUT,0
PAY00000127,U000034,SUB_U000034,2025-09-24,299.0,Card,SUCCESS,,0
PAY00000128,U000034,SUB_U000034,2025-10-22,299.0,NetBanking,SUCCESS,,0
PAY00000129,U000034,SUB_U000034,2025-11-22,299.0,UPI,SUCCESS,,0
PAY00000130,U000035,SUB_U000035,2025-12-15,499.0,UPI,SUCCESS,,0
PAY00000131,U000036,SUB_U000036,2025-05-27,499.0,UPI,SUCCESS,,0
PAY00000132,U000036,SUB_U000036,2025-06-28,499.0,UPI,SUCCESS,,0
PAY00000133,U000036,SUB_U000036,2025-07-27,499.0,Card,FAILED,BANK_TIMEOUT,0
PAY00000134,U000037,SUB_U000037,2025-12-10,499.0,Card,SUCCESS,,0
PAY00000135,U000038,SUB_U000038,2025-12-02,299.0,Card,SUCCESS,,0
PAY00000136,U000038,SUB_U000038,2025-12-30,299.0,UPI,SUCCESS,,0
PAY00000137,U000039,SUB_U000039,2025-07-21,299.0,UPI,SUCCESS,,0
PAY00000138,U000039,SUB_U000039,2025-08-19,299.0,Card,SUCCESS,,0
PAY00000139,U000039,SUB_U000039,2025-09-19,299.0,UPI,SUCCESS,,0
PAY00000140,U000039,SUB_U000039,2025-10-17,299.0,NetBanking,SUCCESS,,0
PAY00000141,U000039,SUB_U000039,2025-11-18,299.0,Card,SUCCESS,,0
PAY00000142,U000039,SUB_U000039,2025-12-17,299.0,Card,SUCCESS,,0
PAY00000143,U000040,SUB_U000040,2025-10-17,499.0,UPI,SUCCESS,,0
PAY00000144,U000040,SUB_U000040,2025-11-17,499.0,UPI,SUCCESS,,0
PAY00000145,U000040,SUB_U000040,2025-12-15,499.0,Card,FAILED,CARD_DECLINED,0
PAY00000146,U000040,SUB_U000040,2025-12-16,499.0,Card,Success,,1
PAY00000147,U000041,SUB_U000041,2025-06-17,299.0,Wallet,SUCCESS,,0
PAY00000148,U000041,SUB_U000041,2025-07-19,299.0,UPI,SUCCESS,,0
PAY00000149,U000041,SUB_U000041,2025-08-18,299.0,Card,SUCCESS,,0
PAY00000150,U000041,SUB_U000041,2025-09-16,299.0,Card,SUCCESS,,0
PAY00000151,U000041,SUB_U000041,2025-10-17,299.0,Card,FAILED,INSUFFICIENT_FUNDS,0
PAY00000152,U000041,SUB_U000041,2025-10-18,299.0,Card,SUCCESS,,1
PAY00000153,U000041,SUB_U000041,2025-11-14,299.0,UPI,SUCCESS,,0
PAY00000154,U000041,SUB_U000041,2025-12-15,299.0,Card,SUCCESS,,0
PAY00000155,U000042,SUB_U000042,2025-11-18,299.0,Card,SUCCESS,,0
PAY00000156,U000043,SUB_U000043,2025-11-01,299.0,UPI,SUCCESS,,0
PAY00000157,U000043,SUB_U000043,2025-11-30,299.0,Card,SUCCESS,,0
PAY00000158,U000043,SUB_U000043,2025-12-29,299.0,Card,FAILED,CARD_DECLINED,0
PAY00000159,U000043,SUB_U000043,2025-12-30,299.0,UPI,success,,1
PAY00000160,U000044,SUB_U000044,2025-08-07,299.0,Card,FAILED,INSUFFICIENT_FUNDS,0
PAY00000161,U000044,SUB_U000044,2025-08-08,299.0,Card,SUCCESS,,1
PAY00000162,U000045,SUB_U000045,2025-05-24,499.0,UPI,SUCCESS,,0
PAY00000163,U000045,SUB_U000045,2025-06-23,499.0,Card,SUCCESS,,0
PAY00000164,U000045,SUB_U000045,2025-07-23,499.0,UPI,SUCCESS,,0
PAY00000165,U000045,SUB_U000045,2025-08-22,499.0,UPI,SUCCESS,,0
PAY00000166,U000045,SUB_U000045,2025-09-21,499.0,Card,SUCCESS,,0
PAY00000167,U000045,SUB_U000045,2025-10-20,499.0,Card,SUCCESS,,0
PAY00000168,U000045,SUB_U000045,2025-11-20,499.0,Wallet,SUCCESS,,0
PAY00000169,U000045,SUB_U000045,2025-12-21,499.0,UPI,SUCCESS,,0
PAY00000170,U000046,SUB_U000046,2026-01-07,499.0,NetBanking,SUCCESS,,0
PAY00000171,U000047,SUB_U000047,2025-08-31,499.0,Card,SUCCESS,,0
PAY00000172,U000047,SUB_U000047,2025-09-30,499.0,Card,SUCCESS,,0
PAY00000173,U000047,SUB_U000047,2025-10-29,499.0,Card,SUCCESS,,0
PAY00000174,U000047,SUB_U000047,2025-11-29,499.0,UPI,SUCCESS,,0
PAY00000175,U000047,SUB_U000047,2025-12-29,499.0,Wallet,FAILED,INSUFFICIENT_FUNDS,0
PAY00000176,U000047,SUB_U000047,2025-12-30,499.0,Card,SUCCESS,,1
PAY00000177,U000048,SUB_U000048,2025-12-23,499.0,NetBanking,SUCCESS,,0
PAY00000178,U000049,SUB_U000049,2025-10-23,299.0,NetBanking,SUCCESS,,0
PAY00000179,U000049,SUB_U000049,2025-11-21,299.0,Card,SUCCESS,,0
PAY00000180,U000049,SUB_U000049,2025-12-21,299.0,Card,SUCCESS,,0
PAY00000181,U000050,SUB_U000050,2025-11-24,499.0,UPI,FAILED,CARD_DECLINED,0
PAY00000182,U000051,SUB_U000051,2025-11-14,299.0,UPI,SUCCESS,,0
PAY00000183,U000051,SUB_U000051,2025-12-14,299.0,UPI,SUCCESS,,0
PAY00000184,U000052,SUB_U000052,2025-06-24,499.0,Card,FAILED,CARD_DECLINED,0
PAY00000185,U000052,SUB_U000052,2025-07-24,499.0,UPI,SUCCESS,,0
PAY00000186,U000052,SUB_U000052,2025-08-21,499.0,Wallet,SUCCESS,,0
PAY00000187,U000052,SUB_U000052,2025-09-20,499.0,Card,SUCCESS,,0
PAY00000188,U000052,SUB_U000052,2025-10-21,499.0,Card,SUCCESS,,0
PAY00000189,U000052,SUB_U000052,2025-11-21,499.0,Wallet,SUCCESS,,0
PAY00000190,U000052,SUB_U000052,2025-12-20,499.0,Card,FAILED,CARD_DECLINED,0
PAY00000191,U000053,SUB_U000053,2025-08-09,299.0,Card,SUCCESS,,0
PAY00000192,U000053,SUB_U000053,2025-09-08,299.0,UPI,FAILED,INSUFFICIENT_FUNDS,0
PAY00000193,U000054,SUB_U000054,2025-09-01,499.0,Card,SUCCESS,,0
PAY00000194,U000054,SUB_U000054,2025-10-01,499.0,Card,SUCCESS,,0
PAY00000195,U000055,SUB_U000055,2025-09-07,299.0,Card,SUCCESS,,0
PAY00000196,U000055,SUB_U000055,2025-10-08,299.0,Card,SUCCESS,,0
PAY00000197,U000056,SUB_U000056,2025-05-19,299.0,NetBanking,SUCCESS,,0
PAY00000198,U000056,SUB_U000056,2025-06-19,299.0,NetBanking,SUCCESS,,0
PAY00000199,U000056,SUB_U000056,2025-07-17,299.0,Card,SUCCESS,,0
PAY00000200,U000056,SUB_U000056,2025-08-17,299.0,UPI,SUCCESS,,0
PAY00000201,U000056,SUB_U000056,2025-09-15,299.0,NetBanking,SUCCESS,,0
PAY00000202,U000056,SUB_U000056,2025-10-16,299.0,Card,SUCCESS,,0
PAY00000203,U000056,SUB_U000056,2025-11-16,299.0,Card,SUCCESS,,0
PAY00000204,U000056,SUB_U000056,2025-12-15,299.0,Wallet,SUCCESS,,0
PAY00000205,U000057,SUB_U000057,2025-09-24,799.0,NetBanking,FAILED,CARD_DECLINED,0
PAY00000206,U000057,SUB_U000057,2025-10-24,799.0,UPI,SUCCESS,,0
PAY00000207,U000057,SUB_U000057,2025-11-24,799.0,Card,SUCCESS,,0
PAY00000208,U000057,SUB_U000057,2025-12-22,799.0,UPI,SUCCESS,,0
PAY00000209,U000058,SUB_U000058,2025-06-16,299.0,NetBanking,SUCCESS,,0
PAY00000210,U000058,SUB_U000058,2025-07-16,299.0,UPI,SUCCESS,,0
PAY00000211,U000058,SUB_U000058,2025-08-16,299.0,Wallet,SUCCESS,,0
PAY00000212,U000058,SUB_U000058,2025-09-15,299.0,UPI,SUCCESS,,0
PAY00000213,U000058,SUB_U000058,2025-10-16,299.0,Wallet,FAILED,UPI_PIN_ERROR,0
PAY00000214,U000058,SUB_U000058,2025-10-17,299.0,UPI,SUCCESS,,1
PAY00000215,U000058,SUB_U000058,2025-11-14,299.0,UPI,SUCCESS,,0
PAY00000216,U000059,SUB_U000059,2025-11-09,799.0,UPI,Success,,0
PAY00000217,U000060,SUB_U000060,2025-10-28,499.0,Card,SUCCESS,,0
PAY00000218,U000060,SUB_U000060,2025-11-26,499.0,NetBanking,SUCCESS,,0
PAY00000219,U000060,SUB_U000060,2025-12-28,499.0,UPI,SUCCESS,,0
PAY00000220,U000061,SUB_U000061,2025-12-24,499.0,Card,SUCCESS,,0
PAY00000221,U000062,SUB_U000062,2025-11-09,299.0,NetBanking,SUCCESS,,0
PAY00000222,U000062,SUB_U000062,2025-12-08,299.0,Wallet,SUCCESS,,0
PAY00000223,U000063,SUB_U000063,2025-08-12,499.0,UPI,SUCCESS,,0
PAY00000224,U000063,SUB_U000063,2025-09-11,499.0,UPI,SUCCESS,,0
PAY00000225,U000063,SUB_U000063,2025-10-11,499.0,Card,Success,,0
PAY00000226,U000063,SUB_U000063,2025-11-10,499.0,UPI,SUCCESS,,0
PAY00000227,U000063,SUB_U000063,2025-12-11,499.0,Card,SUCCESS,,0
PAY00000228,U000064,SUB_U000064,2026-01-03,299.0,UPI,SUCCESS,,0
PAY00000229,U000065,SUB_U000065,2025-08-25,299.0,Card,SUCCESS,,0
PAY00000230,U000065,SUB_U000065,2025-09-22,299.0,UPI,SUCCESS,,0
PAY00000231,U000065,SUB_U000065,2025-10-23,299.0,UPI,SUCCESS,,0
PAY00000232,U000065,SUB_U000065,2025-11-22,299.0,Card,SUCCESS,,0
PAY00000233,U000065,SUB_U000065,2025-12-22,299.0,Card,SUCCESS,,0
PAY00000234,U000066,SUB_U000066,2025-07-31,499.0,NetBanking,SUCCESS,,0
PAY00000235,U000066,SUB_U000066,2025-08-30,499.0,UPI,SUCCESS,,0
PAY00000236,U000066,SUB_U000066,2025-09-29,499.0,Card,SUCCESS,,0
PAY00000237,U000066,SUB_U000066,2025-10-29,499.0,Card,SUCCESS,,0
PAY00000238,U000066,SUB_U000066,2025-11-28,499.0,Card,SUCCESS,,0
PAY00000239,U000066,SUB_U000066,2025-12-28,499.0,UPI,SUCCESS,,0
PAY00000240,U000067,SUB_U000067,2025-12-21,499.0,NetBanking,FAILED,CARD_DECLINED,0
PAY00000241,U000068,SUB_U000068,2025-08-05,299.0,UPI,SUCCESS,,0
PAY00000242,U000068,SUB_U000068,2025-09-04,299.0,Wallet,SUCCESS,,0
PAY00000243,U000068,SUB_U000068,2025-10-05,299.0,NetBanking,SUCCESS,,0
PAY00000244,U000068,SUB_U000068,2025-11-05,299.0,Card,SUCCESS,,0
PAY00000245,U000068,SUB_U000068,2025-12-05,299.0,Card,SUCCESS,,0
PAY00000246,U000069,SUB_U000069,2025-06-01,799.0,UPI,SUCCESS,,0
PAY00000247,U000069,SUB_U000069,2025-07-01,799.0,UPI,SUCCESS,,0
PAY00000248,U000069,SUB_U000069,2025-07-31,799.0,UPI,SUCCESS,,0
PAY00000249,U000069,SUB_U000069,2025-08-29,799.0,UPI,SUCCESS,,0
PAY00000250,U000069,SUB_U000069,2025-09-29,799.0,Card,SUCCESS,,0
PAY00000251,U000069,SUB_U000069,2025-10-30,799.0,UPI,success,,0
PAY00000252,U000069,SUB_U000069,2025-11-29,799.0,Card,FAILED,CARD_DECLINED,0
PAY00000253,U000070,SUB_U000070,2025-09-06,299.0,UPI,SUCCESS,,0
PAY00000254,U000071,SUB_U000071,2025-11-27,499.0,Wallet,SUCCESS,,0
PAY00000255,U000072,SUB_U000072,2025-06-28,499.0,NetBanking,SUCCESS,,0
PAY00000256,U000072,SUB_U000072,2025-07-27,499.0,UPI,SUCCESS,,0
PAY00000257,U000072,SUB_U000072,2025-08-27,499.0,UPI,SUCCESS,,0
PAY00000258,U000072,SUB_U000072,2025-09-25,499.0,Card,SUCCESS,,0
PAY00000259,U000072,SUB_U000072,2025-10-26,499.0,Card,FAILED,UPI_PIN_ERROR,0
PAY00000260,U000072,SUB_U000072,2025-10-27,499.0,Wallet,SUCCESS,,1
PAY00000261,U000072,SUB_U000072,2025-11-24,499.0,Wallet,SUCCESS,,0
PAY00000262,U000072,SUB_U000072,2025-12-24,499.0,NetBanking,SUCCESS,,0
PAY00000263,U000073,SUB_U000073,2025-09-02,499.0,UPI,SUCCESS,,0
PAY00000264,U000073,SUB_U000073,2025-10-04,499.0,Card,SUCCESS,,0
PAY00000265,U000073,SUB_U000073,2025-11-01,499.0,Wallet,FAILED,INSUFFICIENT_FUNDS,0
PAY00000266,U000073,SUB_U000073,2025-12-02,499.0,UPI,FAILED,BANK_TIMEOUT,0
PAY00000267,U000073,SUB_U000073,2025-12-03,499.0,Card,SUCCESS,,1
PAY00000268,U000073,SUB_U000073,2025-12-31,499.0,Card,SUCCESS,,0
PAY00000269,U000074,SUB_U000074,2025-06-09,499.0,UPI,SUCCESS,,0
PAY00000270,U000074,SUB_U000074,2025-07-07,499.0,Card,SUCCESS,,0
PAY00000271,U000074,SUB_U000074,2025-08-07,499.0,Wallet,SUCCESS,,0
PAY00000272,U000074,SUB_U000074,2025-09-06,499.0,UPI,FAILED,BANK_TIMEOUT,0
PAY00000273,U000074,SUB_U000074,2025-09-07,499.0,Wallet,SUCCESS,,1
PAY00000274,U000074,SUB_U000074,2025-10-07,499.0,Card,SUCCESS,,0
PAY00000275,U000074,SUB_U000074,2025-11-04,499.0,UPI,SUCCESS,,0
PAY00000276,U000074,SUB_U000074,2025-12-05,499.0,UPI,SUCCESS,,0
PAY00000277,U000075,SUB_U000075,2025-10-26,299.0,Card,FAILED,UPI_PIN_ERROR,0
PAY00000278,U000075,SUB_U000075,2025-10-27,299.0,Card,SUCCESS,,1
PAY00000279,U000075,SUB_U000075,2025-11-25,299.0,Card,SUCCESS,,0
PAY00000280,U000075,SUB_U000075,2025-12-25,299.0,Card,SUCCESS,,0
PAY00000281,U000076,SUB_U000076,2025-09-08,299.0,UPI,FAILED,UPI_PIN_ERROR,0
PAY00000282,U000076,SUB_U000076,2025-10-09,299.0,Card,FAILED,UPI_PIN_ERROR,0
PAY00000283,U000076,SUB_U000076,2025-10-10,299.0,NetBanking,SUCCESS,,1
PAY00000284,U000076,SUB_U000076,2025-11-08,299.0,UPI,SUCCESS,,0
PAY00000285,U000076,SUB_U000076,2025-12-07,299.0,UPI,SUCCESS,,0
PAY00000286,U000077,SUB_U000077,2025-07-28,299.0,Wallet,SUCCESS,,0
PAY00000287,U000077,SUB_U000077,2025-08-27,299.0,NetBanking,SUCCESS,,0
PAY00000288,U000077,SUB_U000077,2025-09-28,299.0,UPI,SUCCESS,,0
PAY00000289,U000077,SUB_U000077,2025-10-28,299.0,UPI,SUCCESS,,0
PAY00000290,U000077,SUB_U000077,2025-11-26,299.0,UPI,SUCCESS,,0
PAY00000291,U000077,SUB_U000077,2025-12-26,299.0,Card,SUCCESS,,0
PAY00000292,U000078,SUB_U000078,2025-07-04,499.0,UPI,SUCCESS,,0
PAY00000293,U000078,SUB_U000078,2025-08-03,499.0,UPI,SUCCESS,,0
PAY00000294,U000078,SUB_U000078,2025-09-02,499.0,Card,SUCCESS,,0
PAY00000295,U000078,SUB_U000078,2025-10-03,499.0,NetBanking,SUCCESS,,0
PAY00000296,U000079,SUB_U000079,2025-09-27,499.0,UPI,SUCCESS,,0
PAY00000297,U000079,SUB_U000079,2025-10-26,499.0,UPI,SUCCESS,,0
PAY00000298,U000079,SUB_U000079,2025-11-27,499.0,Card,SUCCESS,,0
PAY00000299,U000079,SUB_U000079,2025-12-26,499.0,NetBanking,SUCCESS,,0
PAY00000300,U000080,SUB_U000080,2025-10-26,299.0,UPI,SUCCESS,,0
PAY00000301,U000080,SUB_U000080,2025-11-25,299.0,UPI,FAILED,BANK_TIMEOUT,0
PAY00000302,U000080,SUB_U000080,2025-11-26,299.0,Card,SUCCESS,,1
PAY00000303,U000080,SUB_U000080,2025-12-23,299.0,UPI,FAILED,CARD_DECLINED,0
PAY00000304,U000080,SUB_U000080,2025-12-24,299.0,UPI,SUCCESS,,1
PAY00000305,U000081,SUB_U000081,2026-01-05,299.0,UPI,SUCCESS,,0
PAY00000306,U000082,SUB_U000082,2025-08-26,499.0,UPI,SUCCESS,,0
PAY00000307,U000082,SUB_U000082,2025-09-27,499.0,Card,SUCCESS,,0
PAY00000308,U000082,SUB_U000082,2025-10-26,499.0,Wallet,SUCCESS,,0
PAY00000309,U000082,SUB_U000082,2025-11-26,499.0,Card,SUCCESS,,0
